Temperatura,Personas,Electrodomesticos,Consumo_kWh
17.759952621169298,3.0,11.0,37.63689049598148
28.5295317897449,5.0,17.0,69.61573901339905
26.62103983109017,3.0,15.0,54.814875808803826
25.202059006165474,3.0,7.0,41.80959481422542
16.726315085362923,3.0,18.0,62.10205339392419
30.988803575627216,5.0,13.0,56.87441617255486
16.93606624756122,2.0,11.0,41.378920053919636
26.118116621710527,3.0,14.0,52.45415175823509
20.526748233244398,4.0,6.0,44.05225335458196
19.03764714244095,5.0,9.0,42.24510714080539
15.031364706501426,1.0,20.0,56.026016727940146
27.52089835862282,3.0,9.0,51.75691345095207
17.338298570502,2.0,5.0,29.948944708912926
17.284217815813673,3.0,13.0,44.69292725924002
,,12.0,53.403144963860825
25.974791350179252,2.0,9.0,43.02758363224147
25.59766576374122,2.0,12.0,45.108721250723406
22.438311282851092,2.0,20.0,54.52964372946104
15.386257968710343,5.0,7.0,40.03767065462995
22.258969894150738,1.0,19.0,50.90146119196274
12.82602371172323,1.0,16.0,43.28831514369675
23.637482365947072,5.0,15.0,
24.381186171838607,2.0,7.0,
22.84214322807324,2.0,12.0,48.639776773079326
17.687943344457953,3.0,,
26.537222492406105,2.0,8.0,40.42938558514664
24.11444686288452,1.0,9.0,41.00407660873088
10.937855232817714,4.0,16.0,51.457496967632984
13.72897129526184,4.0,,53.348528610142765
23.60687631902737,4.0,9.0,43.6806717811345
19.68662823063204,4.0,9.0,44.40353915202794
16.59624897324683,,10.0,32.91706934642929
20.431129301678073,1.0,10.0,43.085275372662224
16.910740565674267,4.0,17.0,59.37444618224921
24.49711349865889,4.0,19.0,
21.850268794672843,1.0,12.0,34.55731717163526
22.23545052298979,5.0,18.0,71.0794549854871
16.14570619162339,3.0,16.0,47.368704172343165
12.437363543252177,3.0,13.0,41.9632768561768
23.357711099106048,1.0,12.0,46.69568396997047
23.610326492977265,4.0,18.0,62.2314811893652
16.344999202764384,4.0,18.0,56.94746305428312
